"Chinés simplificat 
(RPC)","Chinés traditional 
(Taiwan, etc.)",HSK,Pronunciation,Signification
之,之,4,zhī,(forme litterari de 的); (pronómine); de
支持,支持,4,zhīchí,subtener; persister; | apoyar
知识,知識,4,zhīshi,conossentie; intelectual
直接,直接,4,zhíjiē,direct; ínmediat
值得,值得,4,zhíde,valer; meriter
职业,職業,4,zhíyè,profession; ocupation
植物,植物,4,zhíwù,plante; botanic; vegetation
只好,只好,4,zhǐhǎo,dever; esser fortiat
只要,只要,4,zhǐyào,si … es tal; si solmen; sub li condition de
指,指,4,zhǐ,fingre; indicar; referer a
至少,至少,4,zhìshǎo,adminim
质量,質量,4,zhìliàng,qualitá; masse (fisica)
重,重,4,zhòng,pesant; seriosi; important
重点,重點,4,zhòngdiǎn,emfase; punctu principal
重视,重視,4,zhòngshì,apreciar; prender con seriositá
周围,周圍,4,zhōuwéi,vicinité; ambiente
主意,主意,4,zhǔyi,plan; idé; decision
祝贺,祝賀,4,zhùhè,conglatular
著名,著名,4,zhùmíng,famosi; conosset
专门,專門,4,zhuānmén,specialisat
专业,專業,4,zhuānyè,profession; specialisat camp de studie; specialisation universitari
转,轉,4,"zhuǎn, zhuàn",tornar; changear; transferer | revolvar; rotar
赚,賺,4,zhuàn,ganiar; profitar
准确,准確,4,zhǔnquè,acurat; precis
准时,准時,4,zhǔnshí,punctualmen; in bon témpor
仔细,仔細,4,zǐxì,cuidosi; atentiv
自然,自然,4,zìrán,natura; natural
自信,自信,4,zìxìn,self-confidentie
总结,總結,4,zǒngjié,resumar; concluder
租,租,4,zū,luar
最好,最好,4,zuìhǎo,max bon; on mey ...; it vell esser bon…
尊重,尊重,4,zūnzhòng,estime; respectar; valorar; honorar
左右,左右,4,zuǒyòu,circa; aproximat | levul e dextri
作家,作家,4,zuòjiā,autor; scritor
作用,作用,4,zuòyòng,action; activitá; efecte
作者,作者,4,zuòzhě,autor; scritor
座,座,4,zuò,"(contator por montes, pontes, alt edificies, etc.); | sede; base; constellation"
座位,座位,4,zuòwèi,sede; loc
