"Chinés simplificat 
(RPC)","Chinés traditional 
(Taiwan, etc.)",HSK,Pronunciation,Signification
一下,一下,2,yíxià,pos un poc; un vez
已经,已經,2,yǐjing,ja
意思,意思,2,yìsi,signification; idé; opinion
因为,因為,2,yīnwèi,nam
所以,所以,2,suǒyǐ,talmen; pro to; quam resultate
阴,陰,2,yīn,nubat; yin (contra yang); secrete; lune; negativ; ombre
游泳,游泳,2,yóuyǒng,svimmar
右边,右邊,2,yòubian,dextri
鱼,魚,2,yú,pisc
远,遠,2,yuǎn,lontan; distant
运动,運動,2,yùndòng,exercicie (fisic/corporal); movement; sport; campanie
再,再,2,zài,denov; un vez plu
早上,早上,2,zǎoshang,(tost in li) matine
丈夫,丈夫,2,zhàngfu,marito; mann
找,找,2,zhǎo,serchar; dar micri moné
着,著,2,zhe,-nt (monstrant un action continuant)
真,真,2,zhēn,ver; genuin; autentic
正在,正在,2,zhèngzài,esser fant (un cose); actualmen
知道,知道,2,zhīdao,saver; esser conscient
准备,准備,2,zhǔnbèi,preparar se
走,走,2,zǒu,vader; marchar; ear; mover
最,最,2,zuì,max
左边,左邊,2,zuǒbian,levul
阿姨,阿姨,3,āyí,tanta; bel-matre; step-matre; yun sestra del matre
啊,啊,3,a,"ah; (particul monstrant surprise, dúbite, aprobation, etc.)"
矮,矮,3,ǎi,curt; bass
爱好,愛好,3,àihào,hobby; amar; interessar se pri
安静,安靜,3,ānjìng,quiet; pacific; calm
把,把,3,bǎ,(contator por coses con manuettes); (particul pretransitiv); tener
班,班,3,bān,equip; classe; escadron
搬,搬,3,bān,translocar; transportar
办法,辦法,3,bànfǎ,metode (a far alquo)
办公室,辦公室,3,bàngōngshì,oficie
半,半,3,bàn,demí; semi-; íncomplet
帮忙,幫忙,3,bāngmáng,auxiliar
包,包,3,bāo,"covrir; voluer; tener; includer (contator por buxes, paquettes, etc.)"
饱,飽,3,bǎo,manjar til plenitá; satisfat
北方,北方,3,běifāng,nord; nord parte de un país
被,被,3,bèi,per (forma li passive); un covri-lette; lett-covritura
鼻子,鼻子,3,bízi,nase
比较,比較,3,bǐjiào,comparar; contrastar; relativmen
比赛,比賽,3,bǐsài,(sport) match; concurrentie
笔记本,筆記本,3,bǐjìběn,nota-librette
必须,必須,3,bìxū,dever; besonar
变化,變化,3,biànhuà,changear
别人,別人,3,biéren,altres
冰箱,冰箱,3,bīngxiāng,refrigerator
不但,不但,3,búdàn,ne solmen
而且,而且,3,érqiě,in plu; e
菜单,菜單,3,càidān,menú
参加,參加,3,cānjiā,partiprender; adherer se a
草,草,3,cǎo,herbe; pallie; esquisse (de un manuscrite)
层,層,3,céng,"(contator por etages, strates)"
差,差,3,chà,esser diferent de; esser inferior
超市,超市,3,chāoshì,supermercate
衬衫,襯衫,3,chènshān,camise; bluse
成绩,成績,3,chéngjì,acomplement; successe; resultates (de labor o studie)
城市,城市,3,chéngshì,cité o borgo
迟到,遲到,3,chídào,arivar in retard
除了,除了,3,chúle,except; in ultra; in plu
船,船,3,chuán,bote; nave
春,春,3,chūn,verne; joyosi
词典,詞典,3,cídiǎn,dictionarium
聪明,聰明,3,cōngming,inteligent; astut
打扫,打掃,3,dǎsǎo,nettar; balayar
打算,打算,3,dǎsuàn,planar; intenter
带,帶,3,dài,bande; cintura; ribon; portar; aportar; elevar (infantes)
担心,擔心,3,dānxīn,suciar se pri; esser anxiosi
蛋糕,蛋糕,3,dàngāo,torte
当然,當然,3,dāngrán,cert; comprensibilmen
地,地,3,"dì, de",terre | (particul adverbial)
灯,燈,3,dēng,lampe; lúmine
地方,地方,3,dìfang,loc; spacie; parte (fāng: local; regional)
地铁,地鐵,3,dìtiě,via subterran; metro
地图,地圖,3,dìtú,landcarte; mappe
电梯,電梯,3,diàntī,elevator
电子邮件,電子郵件,3,diànzǐ yóujiàn,e-posta; email
东,東,3,dōng,ost
冬,冬,3,dōng,hiverne
动物,動物,3,dòngwù,animale
短,短,3,duǎn,"curt (longore, duration, altore); manca"
段,段,3,duàn,paragraf; segment; section
锻炼,鍛煉,3,duànliàn,exercir; adurar
多么,多麼,3,duōme,"tam (bon, etc.); quam (bon idé)"
饿,餓,3,è,afamat
耳朵,耳朵,3,ěrduo,orel
发,發,3,"fā, fà",inviar; distribuer; monstrar (su emotion) | capilles
发烧,發燒,3,fāshāo,haver febre
发现,發現,3,fāxiàn,decovrir
方便,方便,3,fāngbiàn,convenent
放,放,3,fàng,plazzar; liberar
放心,放心,3,fàngxīn,relaxar; sentir aleviation
分,分,3,"fēn, fèn",divider; parte; minute; centime | componente; portion
附近,附近,3,fùjìn,(in li) vicinitá; proxim
复习,復習,3,fùxí,reviser; aprender denov
干净,干淨,3,gānjìng,nett
感冒,感冒,3,gǎnmào,refrigidar se; refrigidation
感兴趣,感興趣,3,gǎn xìngqù,interessar se pri
刚才,剛才,3,gāngcái,just nu; ante un moment
个子,個子,3,gèzi,altore; statura
根据,根據,3,gēnjù,sequente; basat sur; secun
跟,跟,3,gēn,sequer; ear junt; calcan
更,更,3,gèng,plu; mem plu
公斤,公斤,3,gōngjīn,kilogramma
公园,公園,3,gōngyuán,parc public
故事,故事,3,gùshi,historie; narration
刮风,刮風,3,guāfēng,ventosi; sofflar (vente)
关,關,3,guān,cluder; concerne; relation; passa (de un monte)
关系,關系,3,guānxi,relation; concerne
关心,關心,3,guānxīn,concerne; interesse
关于,關於,3,guānyú,pri
国家,國家,3,guójiā,land; país; nation
过,過,3,guò,passar; crucear; (indica un experientie in li passate)
过去,過去,3,guòqù,in li passate; anteyan
还是,還是,3,háishi,o; totvez; vell esser plu bon
害怕,害怕,3,hàipà,timer
黑板,黑板,3,hēibǎn,tabul nigri
后来,后來,3,hòulái,"plu tard, pos"
护照,護照,3,hùzhào,passaporta
花,花,3,huā,flor; florescer; expenser; custa
画,畫,3,huà,dessinar; pictura
坏,壞,3,huài,mal; ruptet
欢迎,歡迎,3,huānyíng,salutar; far benevenit
还,還,3,hái,ancor; támen; in plu
环境,環境,3,huánjìng,circumitá; ambiente
换,換,3,huàn,changear; exchangear; trocar; mercar
黄河,黃河,3,huánghé,Yelb Rivere
回答,回答,3,huídá,responder; replicar
会议,會議,3,huìyì,incontra; conferentie
或者,或者,3,huòzhě,o; possibil; fórsan
几乎,幾乎,3,jīhū,presc
机会,機會,3,jīhuì,oportunitá; chance; ocasion
极,極,3,jí,un extremitá; pol; tre
记得,記得,3,jìde,(re)memorar
季节,季節,3,jìjié,seson; témpor; periode
检查,檢查,3,jiǎnchá,controlar; examinar; inspecter
简单,簡單,3,jiǎndān,simplic; ne complicat
见面,見面,3,jiànmiàn,incontrar alquem; incontra
健康,健康,3,jiànkāng,san; sanitá
讲,講,3,jiǎng,parlar; lecter; explicar; un parlada; un parlada
教,教,3,"jiāo, jiào",docer; instructer | religion; instruction
角,角,3,"jiǎo, jué",corn; angul; monete (1/10 yuan); | rol (teatre)
脚,腳,3,jiǎo,pede
接,接,3,jiē,conexer; incontrar; reciver
街道,街道,3,jiēdào,strade
节目,節目,3,jiémù,programma; articul (sur un programma)
节日,節日,3,jiérì,die festal; festa
